origin,change1,change2,change3,change4,change5,change6,change7,change8,change9,change10
고,코,,,,,,,,,
대,,,,,,,,,,
무,,,,,,,,,,
반,,,,,,,,,,
불,,,,,,,,,,
비,삐,,,,,,,,,
생,,,,,,,,,,
소,,,,,,,,,,
제,쩨,,,,,,,,,
초,,,,,,,,,,
탈,,,,,,,,,,
