origin,change1,change2,change3,change4,change5,change6,change7,change8,change9,change10
걸리,,,,,,,,,,
나가,,,,,,,,,,
나오,,,,,,,,,,
되,돼,,,,,,,,,
드리,,,,,,,,,,
들,,,,,,,,,,
들어가,드러가,,,,,,,,,
먹,,,,,,,,,,
보이,,,,,,,,,,
신,씬,,,,,,,,,
있,잇,,,,,,,,,
입,잎,,,,,,,,,
찾,차,,,,,,,,,
히,,,,,,,,,,
