origin,change1,change2,change3,change4,change5,change6,change7,change8,change9,change10
그,끄,,,,,,,,,
네,넴,넹,넷,넵,,,,,,
다른,,,,,,,,,,
두,,,,,,,,,,
몇,몃,,,,,,,,,
세,,,,,,,,,,
어떤,어딴,어뜬,으떤,으뜬,,,,,,
요,욤,욘,욧,용,,,,,,
이,,,,,,,,,,
이런,이론,이른,요런,,,,,,,
저,젓,저어,,,,,,,,
한,함,,,,,,,,,
