origin,change1,change2,change3,change4,change5,change6,change7,change8,change9,change10
같이,같치,갓치,,,,,,,,
거의,거이,,,,,,,,,
다,따,타,,,,,,,,
더,떠,,,,,,,,,
따로,따루,,,,,,,,,
많이,만이,,,,,,,,,
안,앙,,,,,,,,,
얼마나,얼만아,,,,,,,,,
오래,오레,,,,,,,,,
잘,자알,,,,,,,,,
좀,쫌,촘,,,,,,,,
지금,직금,작금,,,,,,,,
직접,직적,집접,집적,,,,,,,
혹시,호옥시,,,,,,,,,
