origin,change1,change2,change3,change4,change5,change6,change7,change8,change9,change10
같,갓,갇,,,,,,,,
괜찮,괜찬,괞찮,,,,,,,,
그렇,그렿,그럿,,,,,,,,
낫,,,,,,,,,,
낮,,,,,,,,,,
늦,늣,늧,늗,,,,,,,
다르,다른,,,,,,,,,
맛있,맛잇,맜있,맜잇,마싯,마싰,,,,,
많,만,맣,,,,,,,,
상관없,상관업,상간없,,,,,,,,
세,새,,,,,,,,,
쉽,십,싑,,,,,,,,
어렵,어럽,여렵,,,,,,,,
어리,어린,여리,,,,,,,,
어떻,어떡,,,,,,,,,
없,업,,,,,,,,,
이렇,이러,,,,,,,,,
작,닥,,,,,,,,,
재밌,재밋,제밋,제밌,,,,,,,
좋,좃,,,,,,,,,
크,큰,,,,,,,,,
편하,,,,,,,,,,
