origin,change1,change2,change3,change4,change5,change6,change7,change8,change9,change10
가격,,,,,,,,,,
가능,카능,카넝,카녕,가녕,,,,,,
결제,결재,,,,,,,,,
메뉴,마뉴,,,,,,,,,
배달,베달,배다,,,,,,,,
세트,세뜨,셋트,셋뜨,,,,,,,
얼마,,,,,,,,,,
예약,에약,에악,예악,,,,,,,
정도,정두,,,,,,,,,
주문,주뭉,주뭄,,,,,,,,
추가,츠가,츄가,,,,,,,,
카드,커드,캬드,,,,,,,,
할인,활인,,,,,,,,,
